rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
75,缤果S,Binguo S,6314,19.0,https://www.autohome.com.cn/8189/#pvareaid=6861512,6.68-8.98万,./images/by_series/8189_66c04414.png,五菱汽车,Wuling（五菱）
76,宝马5系,5シリーズ,6302,6.0,https://www.autohome.com.cn/65/#pvareaid=6861512,36.80-44.80万,./images/by_series/65_b36d38a9.png,宝马,BMW
77,理想L8,Li Auto L8,6297,1.0,https://www.autohome.com.cn/6910/#pvareaid=6861512,36.98-42.98万,./images/by_series/6910_8895bf20.png,理想汽车,Li Auto
78,哈弗大狗,Big Dog,6233,6.0,https://www.autohome.com.cn/5770/#pvareaid=6861512,12.39-14.99万,./images/by_series/5770_5adc7a2b.png,哈弗,Haval（哈弗）
79,领克07GT,Lynk & Co 07 GT,6056,131.0,https://www.autohome.com.cn/8562/#pvareaid=6861512,15.78-17.78万,./images/by_series/8562_dcf53fed.png,领克,Lynk & Co
80,奥迪Q5L,Q5L,6042,3.0,https://www.autohome.com.cn/4851/#pvareaid=6861512,30.98-39.98万,./images/by_series/4851_eeb1b11e.png,奥迪,Audi
81,海豹08,Hai Bao 08,6038,103.0,https://www.autohome.com.cn/8485/#pvareaid=6861512,19.69-23.99万,./images/by_series/8485_3d664757.png,比亚迪,BYD
82,零跑D19,Ling Pao D19,6034,-47.0,https://www.autohome.com.cn/8273/#pvareaid=6861512,21.98-26.98万,./images/by_series/8273_de27ab88.png,零跑汽车,Leapmotor
83,坦克300新能源,Tank 300 New Energy,6025,42.0,https://www.autohome.com.cn/7210/#pvareaid=6861512,,./images/by_series/7210_0ec2f6f6.png,坦克,Tank（坦克）
84,逸动,Eado,6013,-3.0,https://www.autohome.com.cn/2429/#pvareaid=6861512,7.29-9.99万,./images/by_series/2429_30ad1140.png,长安,長安
85,途岳,トゥアレ (Tharu),5930,11.0,https://www.autohome.com.cn/4745/#pvareaid=6861512,12.59-19.76万,./images/by_series/4745_2e242b08.png,大众,Volkswagen
86,宝马X3,X3,5927,-18.0,https://www.autohome.com.cn/4658/#pvareaid=6861512,31.80-39.80万,./images/by_series/4658_e45bfe63.png,宝马,BMW
87,艾瑞泽8,Arrizo 8,5927,-1.0,https://www.autohome.com.cn/6664/#pvareaid=6861512,9.99-14.89万,./images/by_series/6664_18fbc799.png,奇瑞,Chery（奇瑞）
88,极氪007GT,Ji Ke 007 GT,5865,-32.0,https://www.autohome.com.cn/8010/#pvareaid=6861512,20.39-24.39万,./images/by_series/8010_a1add445.png,极氪,Zeekr（极氪）
89,风云A9,Feng Yun A9,5859,,https://www.autohome.com.cn/7853/#pvareaid=6861512,10.99-16.19万,./images/by_series/7853_20f384be.png,奇瑞风云,Chery Fengyun（奇瑞風雲）
90,海豹05 DM-i,シール05 DM-i (Seal 05 DM-i),5796,63.0,https://www.autohome.com.cn/7981/#pvareaid=6861512,7.98-11.58万,./images/by_series/7981_1610014d.png,比亚迪,BYD
91,零跑C16,C16,5784,-18.0,https://www.autohome.com.cn/7674/#pvareaid=6861512,14.58-18.18万,./images/by_series/7674_7d44c636.png,零跑汽车,Leapmotor
92,岚图梦想家,Lantu Dreamer,5769,-2.0,https://www.autohome.com.cn/6459/#pvareaid=6861512,31.59-70.99万,./images/by_series/6459_f46dc587.png,岚图汽车,Land Rover（岚图汽车）
93,firefly萤火虫,firefly,5718,-6.0,https://www.autohome.com.cn/7990/#pvareaid=6861512,11.98-13.58万,./images/by_series/7990_c357c85f.png,firefly萤火虫,firefly（萤火虫）
94,捷途X70,X70,5714,36.0,https://www.autohome.com.cn/4683/#pvareaid=6861512,9.99-14.99万,./images/by_series/4683_34bc4ceb.png,捷途,Jetour（捷途）
95,银河星舰7,Galaxy Starship 7,5645,-24.0,https://www.autohome.com.cn/7864/#pvareaid=6861512,10.18-12.98万,./images/by_series/7864_8f148852.png,吉利银河,Geely Galaxy（吉利銀河）
96,腾势D9,デンツァD9 (Denza D9),5532,-27.0,https://www.autohome.com.cn/6669/#pvareaid=6861512,30.98-60.06万,./images/by_series/6669_ca3123d9.png,腾势,DENZA
97,雅阁,アコード,5514,-21.0,https://www.autohome.com.cn/78/#pvareaid=6861512,17.98-21.48万,./images/by_series/78_cb6c81c5.png,本田,ホンダ
98,极狐贝塔S3,Ji Hu Beta S3,5484,-32.0,https://www.autohome.com.cn/8190/#pvareaid=6861512,8.48-12.58万,./images/by_series/8190_1c13e3af.png,ARCFOX极狐,ARCFOX（極狐）
99,钛3,Tai 3,5471,-2.0,https://www.autohome.com.cn/7356/#pvareaid=6861512,14.38-16.98万,./images/by_series/7356_77487f26.png,方程豹,Fangchengbao（方程豹）
100,秦L,Qin L,5431,-45.0,https://www.autohome.com.cn/7578/#pvareaid=6861512,9.68-15.58万,./images/by_series/7578_a18a8044.png,比亚迪,BYD
