rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
54,51.0,伊兰特,エラントラ (Elantra),2198.0,9.98-14.98万,https://www.autohome.com.cn/51/#pvareaid=6861512,public/autohome_images/54_53_伊兰特.png,https://www.autohome.com.cn/51/#pvareaid=6861512,现代,Hyundai
55,5349.0,凯迪拉克CT5,CT5,2195.0,28.99-34.59万,https://www.autohome.com.cn/5349/#pvareaid=6861512,public/autohome_images/55_54_凯迪拉克CT5.png,https://www.autohome.com.cn/5349/#pvareaid=6861512,凯迪拉克,Cadillac
56,2951.0,奥迪Q3,Q3,2192.0,25.18-29.68万,https://www.autohome.com.cn/2951/#pvareaid=6861512,public/autohome_images/56_55_奥迪Q3.png,https://www.autohome.com.cn/2951/#pvareaid=6861512,奥迪,Audi
57,7692.0,马自达EZ-6,EZ-6,2038.0,11.98-16.28万,https://www.autohome.com.cn/7692/#pvareaid=6861512,public/autohome_images/57_56_马自达EZ-6.png,https://www.autohome.com.cn/7692/#pvareaid=6861512,马自达,マツダ
58,3411.0,沃尔沃XC60,XC60,1981.0,39.69-47.49万,https://www.autohome.com.cn/3411/#pvareaid=6861512,public/autohome_images/58_57_沃尔沃XC60.png,https://www.autohome.com.cn/3411/#pvareaid=6861512,沃尔沃,Volvo
59,8243.0,日产N6,N6,1892.0,10.39-12.99万,https://www.autohome.com.cn/8243/#pvareaid=6861512,public/autohome_images/59_58_日产N6.png,https://www.autohome.com.cn/8243/#pvareaid=6861512,日产,日産
60,4809.0,英仕派,インスパイア,1729.0,18.28-21.38万,https://www.autohome.com.cn/4809/#pvareaid=6861512,public/autohome_images/60_59_英仕派.png,https://www.autohome.com.cn/4809/#pvareaid=6861512,本田,ホンダ
61,7201.0,赛图斯,セルトス (Seltos),1717.0,10.99-15.99万,https://www.autohome.com.cn/7201/#pvareaid=6861512,public/autohome_images/61_60_赛图斯.png,https://www.autohome.com.cn/7201/#pvareaid=6861512,起亚,Kia
62,6738.0,揽巡,ランシュン (Lanxun),1701.0,24.29-29.99万,https://www.autohome.com.cn/6738/#pvareaid=6861512,public/autohome_images/62_61_揽巡.png,https://www.autohome.com.cn/6738/#pvareaid=6861512,大众,Volkswagen
63,5348.0,奔驰GLB,GLB,1700.0,27.39-31.19万,https://www.autohome.com.cn/5348/#pvareaid=6861512,public/autohome_images/63_62_奔驰GLB.png,https://www.autohome.com.cn/5348/#pvareaid=6861512,奔驰,Mercedes-Benz
64,656.0,奇骏,エクストレイル,1691.0,16.08-26.29万,https://www.autohome.com.cn/656/#pvareaid=6861512,public/autohome_images/64_63_奇骏.png,https://www.autohome.com.cn/656/#pvareaid=6861512,日产,日産
65,6825.0,本田HR-V,Honda HR-V,1676.0,10.99-12.59万,https://www.autohome.com.cn/6825/#pvareaid=6861512,public/autohome_images/65_64_本田HR-V.png,https://www.autohome.com.cn/6825/#pvareaid=6861512,本田,ホンダ
66,7935.0,日产N7,N7,1635.0,11.99-15.89万,https://www.autohome.com.cn/7935/#pvareaid=6861512,public/autohome_images/66_65_日产N7.png,https://www.autohome.com.cn/7935/#pvareaid=6861512,日产,日産
67,164.0,君威,リーガル (Regal),1532.0,15.98-17.58万,https://www.autohome.com.cn/164/#pvareaid=6861512,public/autohome_images/67_66_君威.png,https://www.autohome.com.cn/164/#pvareaid=6861512,别克,Buick
68,4674.0,T-ROC探歌,T-ROC,1532.0,13.89-15.87万,https://www.autohome.com.cn/4674/#pvareaid=6861512,public/autohome_images/68_67_T-ROC探歌.png,https://www.autohome.com.cn/4674/#pvareaid=6861512,大众,Volkswagen
69,7713.0,丰田bZ5,bZ5,1526.0,12.98-19.98万,https://www.autohome.com.cn/7713/#pvareaid=6861512,public/autohome_images/69_68_丰田bZ5.png,https://www.autohome.com.cn/7713/#pvareaid=6861512,丰田,トヨタ
70,4824.0,奕跑,Stonic,1509.0,7.98-8.38万,https://www.autohome.com.cn/4824/#pvareaid=6861512,public/autohome_images/70_69_奕跑.png,https://www.autohome.com.cn/4824/#pvareaid=6861512,起亚,Kia
71,6504.0,奥迪Q4 e-tron,奥迪Q4 e-tron,1491.0,28.99-36.71万,https://www.autohome.com.cn/6504/#pvareaid=6861512,public/autohome_images/71_70_奥迪Q4_e-tron.png,https://www.autohome.com.cn/6504/#pvareaid=6861512,奥迪,Audi
