セクション,項目,极石01 2024款 全能7座标准续航版,极石01 2024款 尊享6座标准续航版,极石01 2024款 全能7座长续航版,极石01 2024款 尊享6座长续航版
四驱/越野,拖挂钩,○ 手动 (2399元),○ 手动 (2399元),○ 手动 (2399元),○ 手动 (2399元)
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,○,○
驾驶硬件,辅助驾驶芯片,● 双TDA4,● 双TDA4,"○ 2颗 英伟达 Orin-X
● 双TDA4","○ 2颗 英伟达 Orin-X
● 双TDA4"
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 6个,● 6个,"● 6个
○ 11个","● 6个
○ 11个"
驾驶硬件,前方感知摄像头像素,● 200万,● 200万,"● 200万
○ 800万","● 200万
○ 800万"
驾驶硬件,环视摄像头像素,● 200万,● 200万,● 200万,● 200万
驾驶硬件,超声波雷达数量,● 12个,● 12个,"● 12个
○ 14个","● 12个
○ 14个"
驾驶硬件,毫米波雷达数量,● 5个,● 5个,● 5个,● 5个
驾驶硬件,激光雷达品牌,-,-,○ HESAI禾赛科技,○ HESAI禾赛科技
驾驶硬件,激光雷达型号,-,-,"○ AT128
○ FT120","○ AT128
○ FT120"
驾驶硬件,激光雷达数量,-,-,○ 3个,○ 3个
驾驶硬件,激光雷达线数,-,-,"○ 128线
○ 120线","○ 128线
○ 120线"
驾驶硬件,激光雷达10%反射率探测距离,-,-,"○ 200米
○ 100米","○ 200米
○ 100米"
驾驶硬件,激光雷达点云数量,-,-,"○ 153万/秒
○ 19万/秒","○ 153万/秒
○ 19万/秒"
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度
驾驶功能,高精地图,-,-,○,○
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●
驾驶功能,记忆泊车,-,-,○,○
驾驶功能,辅助变道,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,-,○,○
驾驶功能,远程召唤,●,●,●,●
驾驶功能,辅助驾驶路段,-,-,○ 高速路段,○ 高速路段
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,● 尾门,● 尾门,● 尾门,● 尾门
外观/防盗,车顶行李架,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,"● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙","● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车
外观/防盗,远程启动功能,●,●,●,●
外观/防盗,车侧脚踏板,-,-,○ 固定,○ 固定
外观/防盗,对外放电,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
