category_id,category,month,rank,series_id,name,units,price,link,image_url,series_url,manufacturer
1,燃油车,2025-11,32,6978,豪越L,2914.0,9.99-15.39万,https://www.autohome.com.cn/6978/#pvareaid=6861512,public/autohome_energy/guochan/images/1/32_31_豪越L.png,https://www.autohome.com.cn/6978/#pvareaid=6861512,吉利汽车
1,燃油车,2025-11,33,6291,捷途大圣,2865.0,6.99-13.68万,https://www.autohome.com.cn/6291/#pvareaid=6861512,public/autohome_energy/guochan/images/1/33_32_捷途大圣.png,https://www.autohome.com.cn/6291/#pvareaid=6861512,捷途
1,燃油车,2025-11,34,623,北京越野BJ40,2538.0,14.58-22.98万,https://www.autohome.com.cn/623/#pvareaid=6861512,public/autohome_energy/guochan/images/1/34_33_北京越野BJ40.png,https://www.autohome.com.cn/623/#pvareaid=6861512,北京越野
1,燃油车,2025-11,35,7746,哈弗猛龙燃油,2509.0,15.69-16.69万,https://www.autohome.com.cn/7746/#pvareaid=6861512,public/autohome_energy/guochan/images/1/35_34_哈弗猛龙燃油.png,https://www.autohome.com.cn/7746/#pvareaid=6861512,哈弗
1,燃油车,2025-11,36,4813,吉利ICON,2216.0,8.98-9.58万,https://www.autohome.com.cn/4813/#pvareaid=6861512,public/autohome_energy/guochan/images/1/36_35_吉利ICON.png,https://www.autohome.com.cn/4813/#pvareaid=6861512,吉利汽车
1,燃油车,2025-11,37,4758,新海狮X30L CNG,2118.0,5.69-6.19万,https://www.autohome.com.cn/4758/#pvareaid=6861512,public/autohome_energy/guochan/images/1/37_36_新海狮X30L_CNG.png,https://www.autohome.com.cn/4758/#pvareaid=6861512,金杯
1,燃油车,2025-11,38,4094,传祺GS8,2114.0,15.98-20.58万,https://www.autohome.com.cn/4094/#pvareaid=6861512,public/autohome_energy/guochan/images/1/38_37_传祺GS8.png,https://www.autohome.com.cn/4094/#pvareaid=6861512,广汽传祺
1,燃油车,2025-11,39,3204,长安CS75,2070.0,9.79-11.99万,https://www.autohome.com.cn/3204/#pvareaid=6861512,public/autohome_energy/guochan/images/1/39_38_长安CS75.png,https://www.autohome.com.cn/3204/#pvareaid=6861512,长安
1,燃油车,2025-11,40,3405,艾瑞泽5,2014.0,5.99-6.99万,https://www.autohome.com.cn/3405/#pvareaid=6861512,public/autohome_energy/guochan/images/1/40_39_艾瑞泽5.png,https://www.autohome.com.cn/3405/#pvareaid=6861512,奇瑞
1,燃油车,2025-11,41,5555,领克06,1975.0,10.86-12.98万,https://www.autohome.com.cn/5555/#pvareaid=6861512,public/autohome_energy/guochan/images/1/41_40_领克06.png,https://www.autohome.com.cn/5555/#pvareaid=6861512,领克
1,燃油车,2025-11,42,4080,荣威RX5,1820.0,9.99-15.59万,https://www.autohome.com.cn/4080/#pvareaid=6861512,public/autohome_energy/guochan/images/1/42_41_荣威RX5.png,https://www.autohome.com.cn/4080/#pvareaid=6861512,荣威
1,燃油车,2025-11,43,4662,传祺M6,1712.0,9.98-13.28万,https://www.autohome.com.cn/4662/#pvareaid=6861512,public/autohome_energy/guochan/images/1/43_42_传祺M6.png,https://www.autohome.com.cn/4662/#pvareaid=6861512,广汽传祺
1,燃油车,2025-11,44,2456,五菱之光,1664.0,3.51-3.79万,https://www.autohome.com.cn/2456/#pvareaid=6861512,public/autohome_energy/guochan/images/1/44_43_五菱之光.png,https://www.autohome.com.cn/2456/#pvareaid=6861512,五菱汽车
1,燃油车,2025-11,45,7828,捷途自由者,1614.0,12.49-15.49万,https://www.autohome.com.cn/7828/#pvareaid=6861512,public/autohome_energy/guochan/images/1/45_44_捷途自由者.png,https://www.autohome.com.cn/7828/#pvareaid=6861512,捷途
1,燃油车,2025-11,46,7798,212 T01,1609.0,13.99-21.99万,https://www.autohome.com.cn/7798/#pvareaid=6861512,public/autohome_energy/guochan/images/1/46_45_212_T01.png,https://www.autohome.com.cn/7798/#pvareaid=6861512,212
