rank,series_id,name,global_name,units,price,link,image_url,series_url,manufacturer,manufacturer_ja
72,6120,凡尔赛C5 X,C5 X,,13.77-18.67万,https://www.autohome.com.cn/6120/#pvareaid=6861512,public/autohome_images/72_71_凡尔赛C5_X.png,https://www.autohome.com.cn/6120/#pvareaid=6861512,雪铁龙,Citroën
73,2649,索纳塔,ソナタ (Sonata),,13.98-18.68万,https://www.autohome.com.cn/2649/#pvareaid=6861512,public/autohome_images/73_72_索纳塔.png,https://www.autohome.com.cn/2649/#pvareaid=6861512,现代,Hyundai
74,81,飞度,Fit,,6.68-12.98万,https://www.autohome.com.cn/81/#pvareaid=6861512,public/autohome_images/74_73_飞度.png,https://www.autohome.com.cn/81/#pvareaid=6861512,本田,ホンダ
75,871,高尔夫,ゴルフ (Golf),,12.99-15.89万,https://www.autohome.com.cn/871/#pvareaid=6861512,public/autohome_images/75_74_高尔夫.png,https://www.autohome.com.cn/871/#pvareaid=6861512,大众,Volkswagen
76,3411,沃尔沃XC60,XC60,,39.69-47.49万,https://www.autohome.com.cn/3411/#pvareaid=6861512,public/autohome_images/76_75_沃尔沃XC60.png,https://www.autohome.com.cn/3411/#pvareaid=6861512,沃尔沃,Volvo
77,8138,沃尔沃XC70插电式混动,XC70 PHEV,,41.19-49.69万,https://www.autohome.com.cn/8138/#pvareaid=6861512,public/autohome_images/77_76_沃尔沃XC70插电式混动.png,https://www.autohome.com.cn/8138/#pvareaid=6861512,沃尔沃,Volvo
78,2886,起亚K3,K3,,11.29-14.39万,https://www.autohome.com.cn/2886/#pvareaid=6861512,public/autohome_images/78_77_起亚K3.png,https://www.autohome.com.cn/2886/#pvareaid=6861512,起亚,Kia
79,6477,林肯Z,Lincoln Zephyr,,23.58-36.58万,https://www.autohome.com.cn/6477/#pvareaid=6861512,public/autohome_images/79_78_林肯Z.png,https://www.autohome.com.cn/6477/#pvareaid=6861512,林肯,Lincoln
80,7692,马自达EZ-6,EZ-6,,11.98-16.28万,https://www.autohome.com.cn/7692/#pvareaid=6861512,public/autohome_images/80_79_马自达EZ-6.png,https://www.autohome.com.cn/7692/#pvareaid=6861512,马自达,マツダ
81,5137,捷达VA3,VA3,,6.78-9.48万,https://www.autohome.com.cn/5137/#pvareaid=6861512,public/autohome_images/81_80_捷达VA3.png,https://www.autohome.com.cn/5137/#pvareaid=6861512,捷达,Jetta
82,880,奥德赛,オデッセイ,,23.58-32.88万,https://www.autohome.com.cn/880/#pvareaid=6861512,public/autohome_images/82_81_奥德赛.png,https://www.autohome.com.cn/880/#pvareaid=6861512,本田,ホンダ
83,7201,赛图斯,セルトス (Seltos),,10.99-15.99万,https://www.autohome.com.cn/7201/#pvareaid=6861512,public/autohome_images/83_82_赛图斯.png,https://www.autohome.com.cn/7201/#pvareaid=6861512,起亚,Kia
84,987,标致408,Peugeot 408,,10.97-11.87万,https://www.autohome.com.cn/987/#pvareaid=6861512,public/autohome_images/84_83_标致408.png,https://www.autohome.com.cn/987/#pvareaid=6861512,标致,标致
85,3294,马自达3 昂克赛拉,Mazda3 Axela,,8.99-18.99万,https://www.autohome.com.cn/3294/#pvareaid=6861512,public/autohome_images/85_84_马自达3_昂克赛拉.png,https://www.autohome.com.cn/3294/#pvareaid=6861512,马自达,マツダ
86,3521,揽胜极光,Range Rover Evoque,,42.98-47.58万,https://www.autohome.com.cn/3521/#pvareaid=6861512,public/autohome_images/86_85_揽胜极光.png,https://www.autohome.com.cn/3521/#pvareaid=6861512,路虎,路虎
87,5193,捷达VS7,捷达VS7,,9.79-12.09万,https://www.autohome.com.cn/5193/#pvareaid=6861512,public/autohome_images/87_86_捷达VS7.png,https://www.autohome.com.cn/5193/#pvareaid=6861512,捷达,Jetta
88,7935,日产N7,N7,,11.99-15.89万,https://www.autohome.com.cn/7935/#pvareaid=6861512,public/autohome_images/88_87_日产N7.png,https://www.autohome.com.cn/7935/#pvareaid=6861512,日产,日産
89,6544,宝马i3,i3,,27.80-33.80万,https://www.autohome.com.cn/6544/#pvareaid=6861512,public/autohome_images/89_88_宝马i3.png,https://www.autohome.com.cn/6544/#pvareaid=6861512,宝马,BMW
90,3460,缤智,Vezel,,11.98-13.58万,https://www.autohome.com.cn/3460/#pvareaid=6861512,public/autohome_images/90_89_缤智.png,https://www.autohome.com.cn/3460/#pvareaid=6861512,本田,ホンダ
91,6430,领睿,Equator,,9.88-16.55万,https://www.autohome.com.cn/6430/#pvareaid=6861512,public/autohome_images/91_90_领睿.png,https://www.autohome.com.cn/6430/#pvareaid=6861512,福特,Ford
92,4206,沃尔沃S90,S90,,40.69-50.59万,https://www.autohome.com.cn/4206/#pvareaid=6861512,public/autohome_images/92_91_沃尔沃S90.png,https://www.autohome.com.cn/4206/#pvareaid=6861512,沃尔沃,Volvo
93,5556,探险者,Explorer,,30.98-39.98万,https://www.autohome.com.cn/5556/#pvareaid=6861512,public/autohome_images/93_92_探险者.png,https://www.autohome.com.cn/5556/#pvareaid=6861512,福特,Ford
94,5757,航海家,ノーチラス (Nautilus),,30.58-46.88万,https://www.autohome.com.cn/5757/#pvareaid=6861512,public/autohome_images/94_93_航海家.png,https://www.autohome.com.cn/5757/#pvareaid=6861512,林肯,Lincoln
95,6369,smart精灵#1,smart #1,,15.49-24.99万,https://www.autohome.com.cn/6369/#pvareaid=6861512,public/autohome_images/95_94_smart精灵_1.png,https://www.autohome.com.cn/6369/#pvareaid=6861512,smart,smart
96,4856,凯迪拉克XT4,XT4,,22.97-27.57万,https://www.autohome.com.cn/4856/#pvareaid=6861512,public/autohome_images/96_95_凯迪拉克XT4.png,https://www.autohome.com.cn/4856/#pvareaid=6861512,凯迪拉克,Cadillac
97,8100,别克至境L7,Envista L7,,17.39-21.99万,https://www.autohome.com.cn/8100/#pvareaid=6861512,public/autohome_images/97_96_别克至境L7.png,https://www.autohome.com.cn/8100/#pvareaid=6861512,别克,Buick
98,7223,宝马iX1,iX1,,22.80-26.80万,https://www.autohome.com.cn/7223/#pvareaid=6861512,public/autohome_images/98_97_宝马iX1.png,https://www.autohome.com.cn/7223/#pvareaid=6861512,宝马,BMW
99,3462,雷凌,レビン,,11.38-14.88万,https://www.autohome.com.cn/3462/#pvareaid=6861512,public/autohome_images/99_98_雷凌.png,https://www.autohome.com.cn/3462/#pvareaid=6861512,丰田,トヨタ
100,5245,揽境,Talagon,,26.99-29.99万,https://www.autohome.com.cn/5245/#pvareaid=6861512,public/autohome_images/100_99_揽境.png,https://www.autohome.com.cn/5245/#pvareaid=6861512,大众,Volkswagen
